model,f1_macro,recall_macro,fit_median_s,predict_ms,size_kb,is_pareto
logistic,0.8988222540968175,0.890625,0.04493069999443833,2.9325999930733815,3.923828125,True
svm_c1,0.9126733637152503,0.9079166666666666,0.3040928999980679,42.177399998763576,111.916015625,False
svm_c10,0.9116432757353912,0.9079166666666667,0.30146080000849906,35.92989999742713,92.447265625,False
rf_100,0.9199411480798771,0.9116666666666666,0.15216030000010505,28.858799996669404,1660.9326171875,True
rf_300,0.9238603957947452,0.9154166666666668,0.425661700006458,60.236200006329454,4922.4951171875,True
boost,0.937202697552462,0.9316666666666668,0.5029713000112679,10.478099997271784,1216.814453125,True
